"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted"
"11","Many opposition leaders are with @narendramodi on the #Demonetization 
And respect their decision,but support opposition just b'coz of party",FALSE,1,NA,"2016-11-23 18:37:47",FALSE,NA,"801494974844043265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sumitbhati2002",1,FALSE,FALSE
"12","RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https://t.co/pYgK8Rmg7r",FALSE,0,NA,"2016-11-23 18:37:25",FALSE,NA,"801494883068317696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MonishGavand",120,TRUE,FALSE
"13","@Jaggesh2 Bharat band on 28??<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>Those who  are protesting #demonetization  are all different party leaders.",FALSE,0,"Jaggesh2","2016-11-23 18:37:15",FALSE,"801482081511448576","801494840018108416","1225924610","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yuvaraj_karki",0,FALSE,FALSE
"14","RT @Atheist_Krishna: The effect of #Demonetization !!
. https://t.co/A8of7zh2f5",FALSE,0,NA,"2016-11-23 18:36:39",FALSE,NA,"801494687345324032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PMKejri",45,TRUE,FALSE
"15","RT @sona2905: When I explained #Demonetization to myself and tried to put it down in my words which are not laced with any heavy technical…",FALSE,0,NA,"2016-11-23 18:36:37",FALSE,NA,"801494679258677248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hkgupta16",50,TRUE,FALSE
"16","RT @Dipankar_cpiml: The Modi app on #DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards…",FALSE,0,NA,"2016-11-23 18:35:22",FALSE,NA,"801494366917230592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aazaadparinda",45,TRUE,FALSE
"17","RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",FALSE,0,NA,"2016-11-23 18:35:01",FALSE,NA,"801494276513202176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","darkdestinynme",12,TRUE,FALSE
"18","RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",FALSE,0,NA,"2016-11-23 18:34:57",FALSE,NA,"801494262047240193",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","snoovemehrotra",95,TRUE,FALSE
"19","RT @pGurus1: #Demonetization The co-operative banking sector in Kerala is as good as a tax haven. Is Kerala a Black Money HQ? https://t.co/…",FALSE,0,NA,"2016-11-23 18:34:17",FALSE,NA,"801494094073597952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Vishwaamitra",76,TRUE,FALSE
"20","RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",FALSE,0,NA,"2016-11-23 18:34:06",FALSE,NA,"801494048892653568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PoliticalCooper",12,TRUE,FALSE
"21","RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?",FALSE,0,NA,"2016-11-23 18:34:02",FALSE,NA,"801494031326908416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MdShuaib7",66,TRUE,FALSE
"22","RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",FALSE,0,NA,"2016-11-23 18:33:40",FALSE,NA,"801493936137064448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BharatParivrtan",12,TRUE,FALSE
"23","RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",FALSE,0,NA,"2016-11-23 18:33:35",FALSE,NA,"801493914985316352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ihavnthandle",95,TRUE,FALSE
"24","RT @MahikaInfra: @narendramodi
@Swamy39
The success of #Demonetization will depend on how swiftly govt replenish the currency

Pls avoid Ba…",FALSE,0,NA,"2016-11-23 18:33:28",FALSE,NA,"801493886694780928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GajjarBharatc",53,TRUE,FALSE
"25","RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?",FALSE,0,NA,"2016-11-23 18:33:14",FALSE,NA,"801493828024889344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Rss_chaddi_waLL",66,TRUE,FALSE
"26","RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",FALSE,0,NA,"2016-11-23 18:33:03",FALSE,NA,"801493782621351944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mukeshrai881",12,TRUE,FALSE
"27","RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",FALSE,0,NA,"2016-11-23 18:32:41",FALSE,NA,"801493691160403968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mrx565",20,TRUE,FALSE
"28","RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",FALSE,0,NA,"2016-11-23 18:32:13",FALSE,NA,"801493575020122112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iMirzaG",12,TRUE,FALSE
"29","RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",FALSE,0,NA,"2016-11-23 18:32:09",FALSE,NA,"801493555655147521",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PontiFukEx",20,TRUE,FALSE
"30","RT @AAPVind: #Demonetization Is Disaster!  @naam_pk",FALSE,0,NA,"2016-11-23 18:31:54",FALSE,NA,"801493494925639680",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","sehgal_indian",7,TRUE,FALSE
"31","RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?",FALSE,0,NA,"2016-11-23 18:31:52",FALSE,NA,"801493484658049024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BoscoUnchained",66,TRUE,FALSE
"32","RT @Gadgets360: After the #demonetization, searches about #NarendraModi's app are trending on app stores https://t.co/ZetKRqqClX",FALSE,0,NA,"2016-11-23 18:31:48",FALSE,NA,"801493470103777280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","meghnabasu2",11,TRUE,FALSE
"33","RT @_avenu: Teacher: is there anybody who is absent today?
(No response )
Teacher says 100% attendance 
#Demonetization #App #survey
@DonMu…",FALSE,0,NA,"2016-11-23 18:31:11",FALSE,NA,"801493313895403520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","trollabhakt",6,TRUE,FALSE
"34","RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",FALSE,0,NA,"2016-11-23 18:31:02",FALSE,NA,"801493273550299136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","manni_1986",76,TRUE,FALSE
"35","RT @mayankjain100: #demonetization is Communal and Black Money is Secular...",FALSE,0,NA,"2016-11-23 18:30:08",FALSE,NA,"801493047988994049",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GHOSTBUSTOR",1,TRUE,FALSE
"36","LOL. #Demonetization Effect. https://t.co/aA5lfy9ALG",FALSE,0,NA,"2016-11-23 18:28:41",FALSE,NA,"801492685123002368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sradeep_d",0,FALSE,FALSE
"37","RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",FALSE,0,NA,"2016-11-23 18:27:46",FALSE,NA,"801492452293148675",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kvQuote",20,TRUE,FALSE
"38","RT roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o… https://t.co/TPYJgXFBY8",FALSE,0,NA,"2016-11-23 18:27:24",FALSE,NA,"801492360744108032",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","AnandMiishra",0,FALSE,FALSE
"39","RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",FALSE,0,NA,"2016-11-23 18:26:50",FALSE,NA,"801492217525243904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CineMaakiKasam",95,TRUE,FALSE
"40","@arunjaitley @narendramodi Lrnd frm a frnd-Banks r asking employees to comeback 2sales &amp; BAU Operations #Demonetization",FALSE,0,"arunjaitley","2016-11-23 18:26:45",FALSE,NA,"801492197690331136","2183816041","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","navsinfosec",0,FALSE,FALSE
"41","RT @kanimozhi: Ts is exactly what Pappu &amp; opposition has done to themselves by opposing #Demonetization Now none can stop Modi bandwagon ti…",FALSE,0,NA,"2016-11-23 18:26:23",FALSE,NA,"801492103100387328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RN_BJP",41,TRUE,FALSE
"42","RT @roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t…",FALSE,0,NA,"2016-11-23 18:26:11",FALSE,NA,"801492054131949568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mukeshrai881",9,TRUE,FALSE
"43","RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",FALSE,0,NA,"2016-11-23 18:25:32",FALSE,NA,"801491891372036096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prateek1013",76,TRUE,FALSE
"44","@dineshgrao you have 12.5 k followers yet you are not getting enough likes for your tweets against #demonetization. You need to introspect.",FALSE,0,"dineshgrao","2016-11-23 18:25:27",FALSE,NA,"801491870245388288","347102273","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShankareGowdaM",0,FALSE,FALSE
"45","#DeMonetization Effect : Visa, Master Card, Amex all Accepted :) https://t.co/ozDwcPKjaI",FALSE,0,NA,"2016-11-23 18:25:24",FALSE,NA,"801491856626331648",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","zailetblog",0,FALSE,FALSE
"46","RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",FALSE,0,NA,"2016-11-23 18:24:57",FALSE,NA,"801491744323870720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","draksbond",76,TRUE,FALSE
"47","RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",FALSE,0,NA,"2016-11-23 18:24:44",FALSE,NA,"801491688757694464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kmvatreni1",59,TRUE,FALSE
"48","RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",FALSE,0,NA,"2016-11-23 18:24:36",FALSE,NA,"801491655899627521",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","PramodKr7227",12,TRUE,FALSE
"49","RT @rohanmlw: #demonetization eye opener video bt i doubt as few jurnos don't want2 hear +ve of @narendramodi @sardesairajdeep @ravishndtv…",FALSE,0,NA,"2016-11-23 18:24:28",FALSE,NA,"801491623901270016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","neelmani1980",4,TRUE,FALSE
"50","RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…",FALSE,0,NA,"2016-11-23 18:24:23",FALSE,NA,"801491599683239936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","smsivanesan",30,TRUE,FALSE
"51","RT @nmleo1: Is #ModiSarkar 's #achedin campaign on #demonetization a #goebbelsian #masterstroke that turns blind eye to #GroundZero shocks?…",FALSE,0,NA,"2016-11-23 18:24:18",FALSE,NA,"801491579546406912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JOYEEE990",1,TRUE,FALSE
"52","RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…",FALSE,0,NA,"2016-11-23 18:24:01",FALSE,NA,"801491507974995968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","n2r3ndr2",30,TRUE,FALSE
"53","RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",FALSE,0,NA,"2016-11-23 18:24:00",FALSE,NA,"801491503885516801",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aakuraj",76,TRUE,FALSE
"54","#demonetization is Communal and Black Money is Secular...",FALSE,0,NA,"2016-11-23 18:23:57",FALSE,NA,"801491492137074688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mayankjain100",1,FALSE,FALSE
"55","RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",FALSE,0,NA,"2016-11-23 18:23:57",FALSE,NA,"801491490761539585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ceradevcera",20,TRUE,FALSE
"56","RT @nmleo1: @MinhazMerchant #demonetization hardly affects tax dodgers &amp; #NETAS who excel in #CashlessCorruption &amp; have multiplied bad weal…",FALSE,0,NA,"2016-11-23 18:23:55",FALSE,NA,"801491483354284032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JOYEEE990",1,TRUE,FALSE
"57","RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",FALSE,0,NA,"2016-11-23 18:23:22",FALSE,NA,"801491346661974016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","twety_swety",95,TRUE,FALSE
"58","Section 144 issued by District Magistrate, #Indore prohibiting #socialmedia posts on #demonetization, Why??
#citizen https://t.co/5Tn7aNBTsi",FALSE,0,NA,"2016-11-23 18:23:12",FALSE,NA,"801491303229816832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ESchool_India",0,FALSE,FALSE
"59","RT @pGurus1: CPI-M opposes Co-op Banks in West Bengal but supports them in Kerala! Y Pawar U-turned on #Demonetization https://t.co/ThzaV7r…",FALSE,0,NA,"2016-11-23 18:22:44",FALSE,NA,"801491187182014465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","InnovativeHindu",29,TRUE,FALSE
"60","RT roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o… https://t.co/vCWWjxu0wb",FALSE,0,NA,"2016-11-23 18:22:37",FALSE,NA,"801491158048407552",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","pratyushmayank",0,FALSE,FALSE
"61","RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",FALSE,0,NA,"2016-11-23 18:22:33",FALSE,NA,"801491138792128512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","monojsaha6",15,TRUE,FALSE
"62","RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…",FALSE,0,NA,"2016-11-23 18:22:10",FALSE,NA,"801491043438837760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NV_Handle",637,TRUE,FALSE
"63","RT @pGurus1: #Demonetization The time has come to put MUDRA into action, writes Prof. R Vaidyanathan - https://t.co/P6HkkDVa3b @upma23 @UnS…",FALSE,0,NA,"2016-11-23 18:22:09",FALSE,NA,"801491040821714944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","InnovativeHindu",30,TRUE,FALSE
"64","RT @pGurus1: #Demonetization move of Modi; Who is supporting it, who is opposing it and why? A complete coverage of all parties - https://t…",FALSE,0,NA,"2016-11-23 18:22:05",FALSE,NA,"801491021813186565",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","InnovativeHindu",19,TRUE,FALSE
"65","RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https://t.co/pYgK8Rmg7r",FALSE,0,NA,"2016-11-23 18:21:17",FALSE,NA,"801490823665725440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Minoritygender",120,TRUE,FALSE
"66","RT @ModiBharosa: Huge support for PM @narendramodi ’s #demonetization Move Across the Nation 
80-86% people back demonetization: C-voter su…",FALSE,0,NA,"2016-11-23 18:20:40",FALSE,NA,"801490667545489408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BsBaban",270,TRUE,FALSE
"67","Effects of sluggish economy, negative IIP, #Demonetization ! Does the Great Leader even bother except continued dra… https://t.co/DuvbMtEi1Y",FALSE,0,NA,"2016-11-23 18:19:37",TRUE,NA,"801490401811165188",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sventure007",0,FALSE,FALSE
"68","RT @kanimozhi: Ts is exactly what Pappu &amp; opposition has done to themselves by opposing #Demonetization Now none can stop Modi bandwagon ti…",FALSE,0,NA,"2016-11-23 18:19:27",FALSE,NA,"801490361998684160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","US70707",41,TRUE,FALSE
"69","RT roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o… https://t.co/5J6jZXbY81",FALSE,0,NA,"2016-11-23 18:19:22",FALSE,NA,"801490339978706944",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","UnRealMohit",0,FALSE,FALSE
"70","RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",FALSE,0,NA,"2016-11-23 18:19:09",FALSE,NA,"801490286597853184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vtushar1960",76,TRUE,FALSE
"71","RT @bhaiyyajispeaks: Here @sardesairajdeep struggling for one answer against #Demonetization, He should have taken some Congress leader lik…",FALSE,0,NA,"2016-11-23 18:19:02",FALSE,NA,"801490253370585088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HRajshri",1868,TRUE,FALSE
"72","#Demonetization and the Indian Economy An Interview by Doordarshan with Sri S.Gurumurthy https://t.co/LdeBCADAeR",FALSE,0,NA,"2016-11-23 18:18:27",FALSE,NA,"801490109572857856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AllinoneIndia",0,FALSE,FALSE
"73","RT @Gadgets360: After the #demonetization, searches about #NarendraModi's app are trending on app stores https://t.co/ZetKRqqClX",FALSE,0,NA,"2016-11-23 18:17:51",FALSE,NA,"801489955994222592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","manickam_sm",11,TRUE,FALSE
"74","RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",FALSE,0,NA,"2016-11-23 18:17:49",FALSE,NA,"801489948679409664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SanalSudev",12,TRUE,FALSE
"75","RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…",FALSE,0,NA,"2016-11-23 18:17:49",FALSE,NA,"801489948201385992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VaidyaPriyam",30,TRUE,FALSE
"76","RT @NilimDutta: After much contemplation I have come to the conclusion that nothing explains Modi's #DeMonetization better than monumental…",FALSE,0,NA,"2016-11-23 18:17:23",FALSE,NA,"801489838260289537",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","imprakrut",2,TRUE,FALSE
"77","RT @Currency_crisis: What #demonetization indicates is loss of freedom
Besides laws/constitution/court/cops 2 govern people
govt is using m…",FALSE,0,NA,"2016-11-23 18:16:40",FALSE,NA,"801489661369552896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","everG3",1,TRUE,FALSE
"78","RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?",FALSE,0,NA,"2016-11-23 18:16:34",FALSE,NA,"801489632814735360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Myth_Busterz",66,TRUE,FALSE
"79","Ppl of India extending overwhelming supprt to @narendramodi Ji's crusade agnst black money.Survey @timesofindia… https://t.co/Axqd8FOwpK",FALSE,0,NA,"2016-11-23 18:16:33",TRUE,NA,"801489628880474112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ganeshjoshibjp",0,FALSE,FALSE
"80","RT @roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t…",FALSE,0,NA,"2016-11-23 18:16:23",FALSE,NA,"801489588275417088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ikumarashok",9,TRUE,FALSE
"81","RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…",FALSE,0,NA,"2016-11-23 18:16:19",FALSE,NA,"801489570831298560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ssmalani",637,TRUE,FALSE
"82","RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",FALSE,0,NA,"2016-11-23 18:15:26",FALSE,NA,"801489350001205248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cracklier",59,TRUE,FALSE
"83","People from rural areas are coming to Delhi just to withdraw cash. 

They have given up on govt. logistics. 

@ravishndtv #Demonetization",FALSE,0,NA,"2016-11-23 18:15:09",FALSE,NA,"801489279700475904",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","Rohit_V",0,FALSE,FALSE
